"","ID_RELACION","ID_ESCUELA","CODIGO_COMUNA","LATITUD","LONGITUD"
"6310",NA,10127,13117,"-33.4495470","-70.7274000"
"6311",NA,10128,13117,"-33.4372670","-70.7401400"
"6312",NA,10130,13124,"-33.4027410","-70.8556480"
"6313",NA,10133,13302,"-33.3364340","-70.8567220"
"6314",NA,10134,13124,"-33.4117740","-70.8547500"
"6315",NA,10135,13124,"-33.3854460","-70.7616760"
"6316",NA,10139,13124,"-33.4426400","-70.7527380"
"6317",NA,10140,13117,"-33.4538150","-70.7076340"
"6318",NA,10142,13117,"-33.4510780","-70.7301770"
"6319",NA,10143,13103,"-33.4192580","-70.7285750"
"6320",NA,10147,13117,"-33.4484820","-70.7196450"
"6321",NA,10149,13117,"-33.4407110","-70.7307850"
"6322",NA,10150,13124,"-33.4360850","-70.7631960"
"6323",NA,10151,13103,"-33.4216110","-70.7196170"
"6324",NA,10152,13124,"-33.4433120","-70.7557480"
"6325",NA,10155,13103,"-33.4332020","-70.7302410"
"6326",NA,10156,13117,"-33.4371060","-70.7320260"
"6327",NA,10157,13124,"-33.4446470","-70.7504130"
"6328",NA,10158,13103,"-33.4300790","-70.7379650"
"6329",NA,10159,13103,"-33.4289070","-70.7341410"
"6330",NA,10160,13117,"-33.4494340","-70.7307290"
"6331",NA,10162,13117,"-33.4510910","-70.7138840"
"6332",NA,10164,13103,"-33.4213420","-70.7266720"
"6333",NA,10167,13124,"-33.4386290","-70.7524290"
"6334",NA,10168,13103,"-33.4137920","-70.7449500"
"6335",NA,10171,13117,"-33.4523000","-70.7344500"
"6336",NA,10172,13103,"-33.4245660","-70.7347250"
"6337",NA,10173,13124,"-33.4289290","-70.7665180"
"6338",NA,10176,13117,"-33.4450870","-70.7162000"
"6339",NA,10181,13124,"-33.4448230","-70.7496180"
"6340",NA,10182,13124,"-33.4319470","-70.7641040"
"6341",NA,10183,13103,"-33.4271660","-70.7288850"
"6342",NA,10186,13103,"-33.4238240","-70.7476730"
"6343",NA,10187,13124,"-33.4370250","-70.7523840"
"6344",NA,10191,13124,"-33.4406330","-70.7621510"
"6345",NA,10193,13103,"-33.4166100","-70.7576070"
"6346",NA,10196,13128,"-33.4043900","-70.7005630"
"6347",NA,10197,13128,"-33.4029880","-70.7237040"
"6348",NA,10199,13108,"-33.4189400","-70.6694350"
"6349",NA,10200,13128,"-33.4050510","-70.7122720"
"6350",NA,10201,13128,"-33.3986820","-70.7015990"
"6351",NA,10202,13128,"-33.4048400","-70.7105840"
"6352",NA,10204,13128,"-33.4052780","-70.7232860"
"6353",NA,10205,13128,"-33.4163320","-70.6853090"
"6354",NA,10207,13128,"-33.4038980","-70.7300700"
"6355",NA,10210,13128,"-33.3932950","-70.6964460"
"6356",NA,10212,13128,"-33.4217660","-70.6765470"
"6357",NA,10216,13128,"-33.4045360","-70.7366600"
"6358",NA,10217,13128,"-33.3983450","-70.7222450"
"6359",NA,10219,13128,"-33.4007650","-70.7042300"
"6360",NA,10220,13108,"-33.4198750","-70.6755670"
"6361",NA,10221,13128,"-33.4082620","-70.6927990"
"6362",NA,10223,13108,"-33.4119050","-70.6745080"
"6363",NA,10224,13108,"-33.4177590","-70.6712260"
"6364",NA,10225,13128,"-33.4021060","-70.7179790"
"6365",NA,10226,13128,"-33.4044690","-70.7198660"
"6366",NA,10228,13128,"-33.4033330","-70.7075180"
"6367",NA,10229,13128,"-33.4004400","-70.7167060"
"6368",NA,10232,13128,"-33.4103700","-70.6888940"
"6369",NA,10233,13128,"-33.4037190","-70.7057730"
"6370",NA,10234,13128,"-33.4050640","-70.7056400"
"6371",NA,10235,13128,"-33.4072310","-70.6922720"
"6372",NA,10237,13108,"-33.4200450","-70.6748650"
"6373",NA,10239,13125,"-33.3668200","-70.7355940"
"6374",NA,10240,13125,"-33.3672790","-70.7166560"
"6375",NA,10241,13125,"-33.3708160","-70.7438480"
"6376",NA,10245,13125,"-33.3650050","-70.7298410"
"6377",NA,10246,13125,"-33.3695670","-70.7357240"
"6378",NA,10247,13125,"-33.3670890","-70.7317180"
"6379",NA,10248,13127,"-33.4128560","-70.6380170"
"6380",NA,10250,13107,"-33.3745900","-70.6342270"
"6381",NA,10251,13104,"-33.3700310","-70.6910780"
"6382",NA,10252,13127,"-33.4014430","-70.6293350"
"6383",NA,10253,13104,"-33.3963670","-70.6631120"
"6384",NA,10254,13127,"-33.3834670","-70.6571350"
"6385",NA,10255,13127,"-33.4027360","-70.6418930"
"6386",NA,10257,13127,"-33.3925680","-70.6508210"
"6387",NA,10259,13104,"-33.3992990","-70.6682360"
"6388",NA,10260,13104,"-33.3815390","-70.6768500"
"6389",NA,10262,13127,"-33.3960690","-70.6410180"
"6390",NA,10263,13104,"-33.3715270","-70.6783530"
"6391",NA,10264,13104,"-33.3870300","-70.6615060"
"6392",NA,10265,13104,"-33.3761420","-70.6673090"
"6393",NA,10266,13104,"-33.3823610","-70.6598110"
"6394",NA,10267,13127,"-33.3843280","-70.6519410"
"6395",NA,10268,13127,"-33.3981270","-70.6397780"
"6396",NA,10269,13104,"-33.3727360","-70.6816570"
"6397",NA,10270,13127,"-33.3851640","-70.6452610"
"6398",NA,10271,13104,"-33.3798490","-70.6604430"
"6399",NA,10272,13107,"-33.3683880","-70.6367460"
"6400",NA,10273,13104,"-33.3895000","-70.6664260"
"6401",NA,10277,13107,"-33.3665540","-70.6342330"
"6402",NA,10278,13104,"-33.3943070","-70.6823420"
"6403",NA,10279,13104,"-33.3806110","-70.6857550"
"6404",NA,10280,13104,"-33.3775040","-70.6933260"
"6405",NA,10281,13104,"-33.3995160","-70.6692420"
"6406",NA,10282,13108,"-33.4063820","-70.6730450"
"6407",NA,10283,13104,"-33.3786000","-70.6722740"
"6408",NA,10285,13107,"-33.3740130","-70.6424160"
"6409",NA,10288,13104,"-33.3760870","-70.6645140"
"6410",NA,10290,13107,"-33.3763670","-70.6235970"
"6411",NA,10291,13127,"-33.4024910","-70.6354350"
"6412",NA,10293,13104,"-33.3972930","-70.6629600"
"6413",NA,10300,13127,"-33.4062720","-70.6242050"
"6414",NA,10301,13104,"-33.3887080","-70.6783800"
"6415",NA,10302,13127,"-33.4124260","-70.6256070"
"6416",NA,10305,13107,"-33.3785360","-70.6431170"
"6417",NA,10306,13127,"-33.3891650","-70.6375890"
"6418",NA,10307,13127,"-33.4127040","-70.6364020"
"6419",NA,10309,13127,"-33.4044950","-70.6482850"
"6420",NA,10313,13127,"-33.4051110","-70.6457120"
"6421",NA,10315,13104,"-33.3754850","-70.6801270"
"6422",NA,10320,13127,"-33.3902550","-70.6427340"
"6423",NA,10321,13108,"-33.4086060","-70.6671680"
"6424",NA,10324,13107,"-33.3747900","-70.6402900"
"6425",NA,10326,13127,"-33.4042620","-70.6449100"
"6426",NA,10327,13108,"-33.4126880","-70.6726960"
"6427",NA,10329,13104,"-33.3911240","-70.6746230"
"6428",NA,10331,13127,"-33.4038250","-70.6313770"
"6429",NA,10332,13104,"-33.3839690","-70.6779770"
"6430",NA,10333,13127,"-33.3983630","-70.6363130"
"6431",NA,10334,13104,"-33.3966520","-70.6725670"
"6432",NA,10335,13108,"-33.4019110","-70.6775680"
"6433",NA,10336,13104,"-33.3844130","-70.6797590"
"6434",NA,10337,13107,"-33.3749830","-70.6395970"
"6435",NA,10338,13127,"-33.3960470","-70.6527050"
"6436",NA,10340,13127,"-33.3916250","-70.6544670"
"6437",NA,10341,13104,"-33.3855870","-70.6807930"
"6438",NA,10344,13104,"-33.3909010","-70.6748180"
"6439",NA,10345,13127,"-33.4077950","-70.6349010"
"6440",NA,10346,13104,"-33.3931180","-70.6673880"
"6441",NA,10348,13104,"-33.3828890","-70.6819810"
"6442",NA,10350,13108,"-33.4023150","-70.6727940"
"6443",NA,10351,13104,"-33.3718200","-70.6801390"
"6444",NA,10352,13127,"-33.3970100","-70.6456780"
"6445",NA,10353,13127,"-33.3922040","-70.6388000"
"6446",NA,10355,13108,"-33.4017380","-70.6764270"
"6447",NA,10359,13107,"-33.3598510","-70.6322430"
"6448",NA,10361,13104,"-33.3916150","-70.6633080"
"6449",NA,10362,13104,"-33.3909870","-70.6737800"
"6450",NA,10363,13127,"-33.4013310","-70.6325650"
"6451",NA,10364,13127,"-33.3888270","-70.6424810"
"6452",NA,10365,13104,"-33.3841970","-70.6710580"
"6453",NA,10372,13108,"-33.4073190","-70.6733950"
"6454",NA,10375,13104,"-33.3770940","-70.6611820"
"6455",NA,10376,13104,"-33.3939270","-70.6676940"
"6456",NA,10377,13302,"-33.2462390","-70.7761740"
"6457",NA,10384,13127,"-33.3816720","-70.6492160"
"6458",NA,10385,13104,"-33.3713420","-70.6907830"
"6459",NA,10386,13125,"-33.3669600","-70.7339200"
"6460",NA,10396,13127,"-33.4002030","-70.6511150"
"6461",NA,10397,13127,"-33.4015300","-70.6438040"
"6462",NA,10398,13301,"-33.2126240","-70.6817550"
"6463",NA,10399,13301,"-33.1946410","-70.6743990"
"6464",NA,10400,13301,"-33.2077410","-70.6790260"
"6465",NA,10401,13301,"-33.2063000","-70.6711030"
"6466",NA,10402,13301,"-33.2099040","-70.6794500"
"6467",NA,10403,13301,"-33.1959500","-70.6737540"
"6468",NA,10404,13301,"-33.2081510","-70.6837320"
"6469",NA,10405,13301,"-33.2089910","-70.6789310"
"6470",NA,10407,13301,"-33.2113300","-70.6807460"
"6471",NA,10408,13301,"-33.2053710","-70.6763670"
"6472",NA,10409,13301,"-33.2037310","-70.6751080"
"6473",NA,10410,13301,"-33.2426500","-70.6854990"
"6474",NA,10411,13301,"-33.2471050","-70.7526540"
"6475",NA,10412,13301,"-33.3020570","-70.7100190"
"6476",NA,10413,13301,"-33.2036010","-70.6800730"
"6477",NA,10415,13301,"-33.2019930","-70.6783660"
"6478",NA,10416,13301,"-33.2334020","-70.7102200"
"6479",NA,10418,13301,"-33.1914270","-70.6625180"
"6480",NA,10419,13302,"-33.2867290","-70.8718790"
"6481",NA,10420,13302,"-33.2860800","-70.8735120"
"6482",NA,10421,13302,"-33.2396940","-70.8120940"
"6483",NA,10422,13302,"-33.2981430","-70.7978340"
"6484",NA,10424,13302,"-33.2430910","-70.8238510"
"6485",NA,10425,13302,"-33.2807060","-70.8801160"
"6486",NA,10426,13302,"-33.2613510","-70.7579630"
"6487",NA,10427,13302,"-33.2254180","-70.7722760"
"6488",NA,10428,13302,"-33.2640940","-70.8823150"
"6489",NA,10429,13302,"-33.3015780","-70.8586240"
"6490",NA,10430,13302,"-33.2257120","-70.8101330"
"6491",NA,10431,13302,"-33.2476300","-70.7524200"
"6492",NA,10432,13303,"-33.0864390","-70.9243770"
"6493",NA,10433,13303,"-33.1303720","-70.8022220"
"6494",NA,10435,13303,"-33.0093920","-70.8930900"
"6495",NA,10436,13303,"-33.0184250","-70.8922040"
"6496",NA,10439,13303,"-33.0766670","-70.7704440"
"6497",NA,10441,13303,"-33.0039650","-70.9914290"
"6498",NA,10442,13303,"-33.0248780","-70.9704460"
"6499",NA,10443,13303,"-32.9664640","-70.8350860"
"6500",NA,10444,13303,"-33.1522890","-70.8881250"
"6501",NA,10447,13303,"-33.0901500","-70.9184060"
