"Nombres","Latitud","Longitud","Numero.Alumnos"
"COLEGIO DE ADULTOS SOL DE AMERICA","-38.7390480","-72.5990000",131
"COLEGIO INNOV-ARTE","-38.7147020","-72.6533910",85
"ESCUELA PART. APRENDIENDO A VIVIR","-38.7341540","-72.5684610",405
"ESCUELA ESP. DE LENGUAJE ANTUMAPU","-38.7405930","-72.5859600",106
"JARDIN INFANTIL PEQUENAS SEMILLAS","-38.7368100","-72.6315160",891
"LICEO PARTICULAR JAN COMENIUS","-38.7574790","-72.6621280",192
"LICEO HUMANISTA CIENTIFICO BRAINSTORM","-38.7580690","-72.6509910",130
"LICEO DE ADULTOS CAUTIN","-38.7340930","-72.6071900",39
"ESC.CRISTIANA DESARROLLO INTEGRAL","-38.7431220","-72.6064800",763
"COLEGIO SAINT PATRICK SCHOOL","-38.7317280","-72.6003350",723
"COLEGIO PARTICULAR EXCELSIOR","-38.7089100","-72.6249190",285
"JARDIN INFANTIL CASITA DEL BOSQUE","-38.7497900","-72.5989150",401
"ESCUELA ESPECIAL DE LENGUAJE CRE-SER","-38.7456320","-72.6066500",778
"COLEGIO HEBREO","-38.7345930","-72.6073070",28
"COLEGIO DE EDUC. DE ADULTOS ANDES","-38.7351040","-72.5893800",33
"JARDIN INFANTIL ALEN","-38.7441330","-72.5886700",187
"ESCUELA PART. TEMUCO COLLEGE","-38.7378980","-72.6096870",212
"ESCUELA ESPECIAL LIWEN","-38.7380520","-72.6071000",368
"ESCUELA DE LENGUAJE MANANTIAL","-38.7470800","-72.6063900",65
"COLEGIO NEWHARVEST","-38.7246090","-72.5619700",166
"LICEO PARTICULAR SAN ROQUE","-38.7591700","-72.6320950",112
"COLEGIO DE EDUCACION DE ADULTOS HORIZONTE","-38.7340970","-72.6071970",124
"JARDIN INFANTIL RAKIDUAM","-38.7431220","-72.6064800",726
"JARDIN INFANTIL DE COLORES","-38.7155840","-72.6477700",105
"GEORGE CHAYTOR ENGLISH COLLEGE","-38.7358490","-72.6435970",30
"ESCUELA ESPECIAL DE LENGUAJE HABLAPALABRAS","-38.7422260","-72.6331700",19
"ESCUELA ESPECIAL DE LENGUAJE PEKES","-38.7512550","-72.6324600",109
"COLEGIO DE ADULTOS RAYENCO","-38.7602840","-72.6317600",819
"ESCUELA ESPECIAL DE LENGUAJE RAICES DEL SUR","-38.7344260","-72.6076940",37
"ESCUELA ESPECIAL DE LENGUAJE WILEF","-38.7573390","-72.6318850",157
"LICEO CUMBRES DE LABRANZA","-38.7662280","-72.7566100",114
"COLEGIO DE EDUCACION ADULTOS CORDILLERA","-38.7352330","-72.5901100",120
"JARDIN INFANTIL KIMUN","-38.7349500","-72.6253100",162
"COLEGIO LOS ROBLES","-38.7460250","-72.5803300",169
"LICEO BICENTENARIO DE TEMUCO","-38.7403680","-72.6030400",1191
"ESCUELA DE PÁRVULOS MONTE SIÓN","-38.7235570","-72.5614240",108
"COLEGIO DE ADULTOS HACIA UN NUEVO HORIZONTE","-38.7395740","-72.5866100",14
"COLEGIO FOR LIFE","-38.7564850","-72.6564900",430
"ESCUELA ESPECIAL DE LENGUAJE LOS ANGELITOS","-38.7321890","-72.6127580",310
"ESCUELA ESPECIAL DE LENGUAJE RENACER","-38.7254970","-72.5669140",73
"JARDIN INFANTIL MAGIC GARDEN","-38.7397780","-72.5966110",219
"COLEGIO DE ADULTOS AGUILA REAL","-38.7330200","-72.5916010",307
